"genotype","chamber","survival"
"AA",1,58.5
"AA",1,57
"AA",1,56
"AA",1,54
"AA",1,60.5
"AA",2,61
"AA",2,62
"AA",2,57
"AA",2,58
"AA",2,56.5
"AA",3,53
"AA",3,54.5
"AA",3,56
"AA",3,57
"AA",3,58
"Aa",4,47
"Aa",4,48
"Aa",4,45.5
"Aa",4,46
"Aa",4,49
"Aa",5,50
"Aa",5,45
"Aa",5,44
"Aa",5,46.5
"Aa",5,48
"Aa",6,52
"Aa",6,49
"Aa",6,48.5
"Aa",6,45
"Aa",6,47.5
"aa",7,41
"aa",7,39
"aa",7,38.5
"aa",7,36
"aa",7,37.5
"aa",8,39
"aa",8,41
"aa",8,33.4
"aa",8,36
"aa",8,35.5
"aa",9,37.5
"aa",9,38
"aa",9,34.5
"aa",9,36
"aa",9,38.5
