"date","depth","temp"
"MAY1        ",0,7.6
"MAY1        ",1,7.4
"MAY1        ",2,6.9
"MAY1        ",3,6.7
"MAY1        ",4,6.4
"MAY1        ",5,6.1
"MAY1        ",6,5.7
"MAY1        ",9,5.4
"MAY1        ",12,4.9
"MAY1        ",15,4.7
"JUNE1       ",0,16.8
"JUNE1       ",1,16.2
"JUNE1       ",2,15.7
"JUNE1       ",3,15.3
"JUNE1       ",4,10.2
"JUNE1       ",5,8.9
"JUNE1       ",6,7.7
"JUNE1       ",9,5.4
"JUNE1       ",12,4.9
"JUNE1       ",15,4.7
"JULY1       ",0,24.6
"JULY1       ",1,22.9
"JULY1       ",2,22.1
"JULY1       ",3,21
"JULY1       ",4,19
"JULY1       ",5,14.2
"JULY1       ",6,10.4
"JULY1       ",9,6.3
"JULY1       ",12,6
"JULY1       ",15,5.5
"AUG1        ",0,24.8
"AUG1        ",1,24.5
"AUG1        ",2,23.9
"AUG1        ",3,22.6
"AUG1        ",4,21.4
"AUG1        ",5,11.6
"AUG1        ",6,9.6
"AUG1        ",9,6.3
"AUG1        ",12,5.8
"AUG1        ",15,5.6
